Region,Date,Estimated Unemployment Rate,Area,Year
Jharkhand,2020-03-31,16.4,Urban,2020.0
Jharkhand,2020-04-30,61.48,Urban,2020.0
Jharkhand,2020-05-31,70.17,Urban,2020.0
Jharkhand,2020-06-30,19.38,Urban,2020.0
Karnataka,2019-05-31,6.56,Urban,2019.0
Karnataka,2019-06-30,5.0,Urban,2019.0
Karnataka,2019-07-31,2.29,Urban,2019.0
Karnataka,2019-08-31,1.27,Urban,2019.0
Karnataka,2019-09-30,3.57,Urban,2019.0
Karnataka,2019-10-31,3.87,Urban,2019.0
Karnataka,2019-11-30,3.44,Urban,2019.0
Karnataka,2019-12-31,1.56,Urban,2019.0
Karnataka,2020-01-31,3.31,Urban,2020.0
Karnataka,2020-02-29,2.88,Urban,2020.0
Karnataka,2020-03-31,4.92,Urban,2020.0
Karnataka,2020-04-30,25.12,Urban,2020.0
Karnataka,2020-05-31,15.88,Urban,2020.0
Karnataka,2020-06-30,6.12,Urban,2020.0
Kerala,2019-05-31,6.11,Urban,2019.0
Kerala,2019-06-30,6.67,Urban,2019.0
Kerala,2019-07-31,7.58,Urban,2019.0
Kerala,2019-08-31,7.69,Urban,2019.0
Kerala,2019-09-30,5.52,Urban,2019.0
Kerala,2019-10-31,5.35,Urban,2019.0
Kerala,2019-11-30,6.71,Urban,2019.0
Kerala,2019-12-31,7.31,Urban,2019.0
Kerala,2020-01-31,6.65,Urban,2020.0
Kerala,2020-02-29,6.08,Urban,2020.0
Kerala,2020-03-31,9.14,Urban,2020.0
Kerala,2020-04-30,21.43,Urban,2020.0
Kerala,2020-05-31,30.28,Urban,2020.0
Kerala,2020-06-30,12.17,Urban,2020.0
Madhya Pradesh,2019-05-31,3.91,Urban,2019.0
Madhya Pradesh,2019-06-30,6.38,Urban,2019.0
Madhya Pradesh,2019-07-31,7.38,Urban,2019.0
Madhya Pradesh,2019-08-31,6.82,Urban,2019.0
Madhya Pradesh,2019-09-30,7.0,Urban,2019.0
Madhya Pradesh,2019-10-31,4.4,Urban,2019.0
Madhya Pradesh,2019-11-30,6.06,Urban,2019.0
Madhya Pradesh,2019-12-31,6.2,Urban,2019.0
Madhya Pradesh,2020-01-31,5.17,Urban,2020.0
Madhya Pradesh,2020-02-29,4.96,Urban,2020.0
Madhya Pradesh,2020-03-31,4.8,Urban,2020.0
Madhya Pradesh,2020-04-30,11.94,Urban,2020.0
Madhya Pradesh,2020-05-31,40.49,Urban,2020.0
Madhya Pradesh,2020-06-30,12.72,Urban,2020.0
Maharashtra,2019-05-31,6.08,Urban,2019.0
Maharashtra,2019-06-30,6.46,Urban,2019.0
Maharashtra,2019-07-31,6.35,Urban,2019.0
Maharashtra,2019-08-31,7.57,Urban,2019.0
Maharashtra,2019-09-30,7.6,Urban,2019.0
Maharashtra,2019-10-31,7.51,Urban,2019.0
Maharashtra,2019-11-30,7.6,Urban,2019.0
Maharashtra,2019-12-31,7.83,Urban,2019.0
Maharashtra,2020-01-31,6.67,Urban,2020.0
Maharashtra,2020-02-29,5.34,Urban,2020.0
Maharashtra,2020-03-31,6.34,Urban,2020.0
Maharashtra,2020-04-30,14.99,Urban,2020.0
Maharashtra,2020-05-31,15.92,Urban,2020.0
Maharashtra,2020-06-30,10.01,Urban,2020.0
Meghalaya,2019-05-31,8.4,Urban,2019.0
Meghalaya,2019-06-30,8.66,Urban,2019.0
Meghalaya,2019-07-31,4.43,Urban,2019.0
Meghalaya,2019-08-31,5.8,Urban,2019.0
Meghalaya,2019-09-30,5.3,Urban,2019.0
Meghalaya,2019-10-31,7.2,Urban,2019.0
Meghalaya,2019-11-30,3.02,Urban,2019.0
Meghalaya,2019-12-31,5.21,Urban,2019.0
Meghalaya,2020-01-31,4.76,Urban,2020.0
Meghalaya,2020-02-29,7.37,Urban,2020.0
Meghalaya,2020-03-31,2.8,Urban,2020.0
Meghalaya,2020-04-30,17.39,Urban,2020.0
Meghalaya,2020-05-31,14.58,Urban,2020.0
Odisha,2019-05-31,2.95,Urban,2019.0
Odisha,2019-06-30,2.63,Urban,2019.0
Odisha,2019-07-31,1.78,Urban,2019.0
Odisha,2019-08-31,3.5,Urban,2019.0
Odisha,2019-09-30,3.78,Urban,2019.0
Odisha,2019-10-31,4.5,Urban,2019.0
Odisha,2019-11-30,2.23,Urban,2019.0
Odisha,2019-12-31,3.36,Urban,2019.0
Odisha,2020-01-31,2.28,Urban,2020.0
Odisha,2020-02-29,2.19,Urban,2020.0
Odisha,2020-03-31,3.96,Urban,2020.0
Odisha,2020-04-30,20.5,Urban,2020.0
Odisha,2020-05-31,10.0,Urban,2020.0
Odisha,2020-06-30,2.18,Urban,2020.0
Puducherry,2019-05-31,1.25,Urban,2019.0
Puducherry,2019-06-30,0.0,Urban,2019.0
Puducherry,2019-07-31,0.0,Urban,2019.0
Puducherry,2019-08-31,8.95,Urban,2019.0
Puducherry,2019-09-30,1.22,Urban,2019.0
Puducherry,2019-10-31,1.17,Urban,2019.0
Puducherry,2019-11-30,1.37,Urban,2019.0
Puducherry,2019-12-31,5.21,Urban,2019.0
Puducherry,2020-01-31,0.57,Urban,2020.0
Puducherry,2020-02-29,1.78,Urban,2020.0
Puducherry,2020-03-31,0.62,Urban,2020.0
Puducherry,2020-04-30,76.74,Urban,2020.0
Puducherry,2020-05-31,75.0,Urban,2020.0
Puducherry,2020-06-30,4.55,Urban,2020.0
Punjab,2019-05-31,13.49,Urban,2019.0
Punjab,2019-06-30,13.17,Urban,2019.0
Punjab,2019-07-31,11.61,Urban,2019.0
Punjab,2019-08-31,11.99,Urban,2019.0
Punjab,2019-09-30,15.69,Urban,2019.0
Punjab,2019-10-31,13.75,Urban,2019.0
Punjab,2019-11-30,10.39,Urban,2019.0
Punjab,2019-12-31,11.97,Urban,2019.0
Punjab,2020-01-31,13.68,Urban,2020.0
Punjab,2020-02-29,11.99,Urban,2020.0
Punjab,2020-03-31,9.97,Urban,2020.0
Punjab,2020-04-30,1.13,Urban,2020.0
Punjab,2020-05-31,20.54,Urban,2020.0
Punjab,2020-06-30,10.55,Urban,2020.0
Rajasthan,2019-05-31,13.62,Urban,2019.0
Rajasthan,2019-06-30,14.36,Urban,2019.0
Rajasthan,2019-07-31,11.67,Urban,2019.0
Rajasthan,2019-08-31,14.71,Urban,2019.0
Rajasthan,2019-09-30,12.63,Urban,2019.0
Rajasthan,2019-10-31,13.02,Urban,2019.0
Rajasthan,2019-11-30,14.3,Urban,2019.0
Rajasthan,2019-12-31,18.04,Urban,2019.0
Rajasthan,2020-01-31,18.82,Urban,2020.0
Rajasthan,2020-02-29,17.02,Urban,2020.0
Rajasthan,2020-03-31,18.54,Urban,2020.0
Rajasthan,2020-04-30,35.53,Urban,2020.0
Rajasthan,2020-05-31,25.35,Urban,2020.0
Rajasthan,2020-06-30,13.04,Urban,2020.0
Sikkim,2019-05-31,8.2,Urban,2019.0
Sikkim,2019-06-30,7.76,Urban,2019.0
Sikkim,2019-07-31,2.56,Urban,2019.0
Sikkim,2019-08-31,4.82,Urban,2019.0
Sikkim,2019-09-30,4.81,Urban,2019.0
Sikkim,2019-10-31,9.68,Urban,2019.0
Sikkim,2019-11-30,4.04,Urban,2019.0
Sikkim,2019-12-31,7.37,Urban,2019.0
Sikkim,2020-03-31,20.45,Urban,2020.0
Sikkim,2020-04-30,5.77,Urban,2020.0
Sikkim,2020-05-31,19.75,Urban,2020.0
Sikkim,2020-06-30,2.63,Urban,2020.0
Tamil Nadu,2019-05-31,0.89,Urban,2019.0
Tamil Nadu,2019-06-30,1.56,Urban,2019.0
Tamil Nadu,2019-07-31,3.18,Urban,2019.0
Tamil Nadu,2019-08-31,9.53,Urban,2019.0
Tamil Nadu,2019-09-30,1.86,Urban,2019.0
Tamil Nadu,2019-10-31,1.13,Urban,2019.0
Tamil Nadu,2019-11-30,2.65,Urban,2019.0
Tamil Nadu,2019-12-31,8.05,Urban,2019.0
Tamil Nadu,2020-01-31,2.05,Urban,2020.0
Tamil Nadu,2020-02-29,3.31,Urban,2020.0
Tamil Nadu,2020-03-31,6.46,Urban,2020.0
Tamil Nadu,2020-04-30,45.55,Urban,2020.0
Tamil Nadu,2020-05-31,25.95,Urban,2020.0
Tamil Nadu,2020-06-30,24.93,Urban,2020.0
Telangana,2019-05-31,1.52,Urban,2019.0
Telangana,2019-06-30,1.43,Urban,2019.0
Telangana,2019-07-31,3.73,Urban,2019.0
Telangana,2019-08-31,4.19,Urban,2019.0
Telangana,2019-09-30,6.19,Urban,2019.0
Telangana,2019-10-31,6.74,Urban,2019.0
Telangana,2019-11-30,5.23,Urban,2019.0
Telangana,2019-12-31,4.22,Urban,2019.0
Telangana,2020-01-31,6.49,Urban,2020.0
Telangana,2020-02-29,6.74,Urban,2020.0
Telangana,2020-03-31,6.1,Urban,2020.0
Telangana,2020-04-30,10.5,Urban,2020.0
Telangana,2020-05-31,36.57,Urban,2020.0
Telangana,2020-06-30,6.92,Urban,2020.0
Tripura,2019-05-31,34.69,Urban,2019.0
Tripura,2019-06-30,25.59,Urban,2019.0
Tripura,2019-07-31,25.81,Urban,2019.0
Tripura,2019-08-31,33.45,Urban,2019.0
Tripura,2019-09-30,33.57,Urban,2019.0
Tripura,2019-10-31,26.67,Urban,2019.0
Tripura,2019-11-30,27.15,Urban,2019.0
Tripura,2019-12-31,33.48,Urban,2019.0
Tripura,2020-01-31,34.37,Urban,2020.0
Tripura,2020-02-29,33.88,Urban,2020.0
Tripura,2020-03-31,25.69,Urban,2020.0
Tripura,2020-04-30,34.88,Urban,2020.0
Tripura,2020-05-31,16.78,Urban,2020.0
Tripura,2020-06-30,27.47,Urban,2020.0
Uttar Pradesh,2019-05-31,14.4,Urban,2019.0
Uttar Pradesh,2019-06-30,11.62,Urban,2019.0
Uttar Pradesh,2019-07-31,11.8,Urban,2019.0
Uttar Pradesh,2019-08-31,14.73,Urban,2019.0
Uttar Pradesh,2019-09-30,13.58,Urban,2019.0
Uttar Pradesh,2019-10-31,10.35,Urban,2019.0
Uttar Pradesh,2019-11-30,11.31,Urban,2019.0
Uttar Pradesh,2019-12-31,12.37,Urban,2019.0
Uttar Pradesh,2020-01-31,12.34,Urban,2020.0
Uttar Pradesh,2020-02-29,11.65,Urban,2020.0
Uttar Pradesh,2020-03-31,12.32,Urban,2020.0
Uttar Pradesh,2020-04-30,26.94,Urban,2020.0
Uttar Pradesh,2020-05-31,32.06,Urban,2020.0
Uttar Pradesh,2020-06-30,13.05,Urban,2020.0
Uttarakhand,2019-05-31,9.17,Urban,2019.0
Uttarakhand,2019-06-30,4.69,Urban,2019.0
Uttarakhand,2019-07-31,6.94,Urban,2019.0
Uttarakhand,2019-08-31,7.43,Urban,2019.0
Uttarakhand,2019-09-30,9.62,Urban,2019.0
Uttarakhand,2019-10-31,4.72,Urban,2019.0
Uttarakhand,2019-11-30,6.34,Urban,2019.0
Uttarakhand,2019-12-31,7.39,Urban,2019.0
Uttarakhand,2020-01-31,8.92,Urban,2020.0
Uttarakhand,2020-02-29,5.28,Urban,2020.0
Uttarakhand,2020-03-31,8.15,Urban,2020.0
Uttarakhand,2020-04-30,13.18,Urban,2020.0
Uttarakhand,2020-05-31,17.36,Urban,2020.0
Uttarakhand,2020-06-30,5.08,Urban,2020.0
West Bengal,2019-05-31,7.25,Urban,2019.0
West Bengal,2019-06-30,7.38,Urban,2019.0
West Bengal,2019-07-31,7.91,Urban,2019.0
West Bengal,2019-08-31,7.27,Urban,2019.0
West Bengal,2019-09-30,7.79,Urban,2019.0
West Bengal,2019-10-31,7.83,Urban,2019.0
West Bengal,2019-11-30,6.61,Urban,2019.0
West Bengal,2019-12-31,7.24,Urban,2019.0
West Bengal,2020-01-31,7.27,Urban,2020.0
West Bengal,2020-02-29,7.55,Urban,2020.0
West Bengal,2020-03-31,6.67,Urban,2020.0
West Bengal,2020-04-30,15.63,Urban,2020.0
West Bengal,2020-05-31,15.22,Urban,2020.0
West Bengal,2020-06-30,9.86,Urban,2020.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
